날짜,발표처,제목,웹주소
2016-07-19,한국경제,미래창조과학부 '소프트 로봇' 개발하기 위해 125억 원 투자,=HYPERLINK("http://www.hankyung.com/news/app/newsview.php?aid=201607194838g")
2016-07-19,머니투데이,공주대 학생들 미래창조과학부 장관상 수상,=HYPERLINK("http://news.mt.co.kr/mtview.php?no=2016071900417455720")
2016-07-19,연합뉴스,세포 특정 부분에 작용 나노선 센서 개발,=HYPERLINK("http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719040400063.HTML")
2016-07-19,ZD넷 코리아,공정위 SKT-CJ헬로비전 M&A 최종 불허,=HYPERLINK("http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160718102208&lo=z37")
2016-07-19,한국일보,'인공태양' 핵융합실험로 해외수주액 5000억원 돌파,=HYPERLINK("https://www.hankookilbo.com/v/a5835d63948f4be1a17b2530ccd5a80f")
2016-07-19,ZD넷 코리아,지상파UHD 추진위 공식 출범,=HYPERLINK("http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160719160518")
2016-07-19,연합뉴스,의약품에 방사성동위원소 붙이면 식도암 치료 효과↑,=HYPERLINK("http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719078800017.HTML")
2016-07-19,전자신문,NIPA 판교 스타트업 캠퍼스서 `스타트업 육성 사업 ` 본격 추진,=HYPERLINK("http://www.etnews.com/20160719000138")
2016-07-19,아이뉴스24,지상파 UHD 방송 추진위원회 출범,=HYPERLINK("http://news.inews24.com/php/news_view.php?g_serial=969355&g_menu=020320")
2016-07-19,전자신문,투데이이슈,=HYPERLINK("http://www.etnews.com/20160718000493")
2016-07-19,연합뉴스,전북대 120억대 재난 예측 플랫폼 개발사업자로 선정,=HYPERLINK("http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719062000055.HTML")
2016-07-19,MBN,오늘 롯데가 제사…삼부자 모일까?,=HYPERLINK("http://mbn.mk.co.kr/pages/news/newsView.php?news_seq_no=2952747")
2016-07-19,연합뉴스,KIST 태양전지 효율 높이는 신소재 개발,=HYPERLINK("http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719032900017.HTML")
2016-07-19,서울경제,교육부·법무부 자유학기제 진로체험 프로그램 시범운영,=HYPERLINK("http://www.sedaily.com/NewsView/1KYXCJCGYQ/GE02")
2016-07-19,조선일보,사드 논란·陳검사장 구속·禹수석 의혹… 朴대통령 개각 구상 폭...,=HYPERLINK("http://news.chosun.com/site/data/html_dir/2016/07/19/2016071900284.html")
2016-07-19,동아사이언스,출연연 고가 연구장비 관리할 지원센터 만든다,=HYPERLINK("http://www.dongascience.com/news/view/13040")
2016-07-19,헤럴드경제 미주판,양성평등기본법 시행 1년…정부委 여성참여율 1.6%p ↑,=HYPERLINK("http://heraldk.com/2016/07/18/%EC%96%91%EC%84%B1%ED%8F%89%EB%93%B1%EA%B8%B0%EB%B3%B8%EB%B2%95-%EC%8B%9C%ED%96%89-1%EB%85%84%EC%A0%95%EB%B6%80%E5%A7%94-%EC%97%AC%EC%84%B1%EC%B0%B8%EC%97%AC%EC%9C%A8-1-6p-%E2%86%91/")
2016-07-19,전자신문,SKT CJ헬로비전 인수 물 건너갔다,=HYPERLINK("http://www.etnews.com/20160718000493?m=1")
2016-07-19,이데일리,공세·흔들기·찌라시..靑 우병우發 의혹에 이례적 '강경대응',=HYPERLINK("http://www.edaily.co.kr/news/NewsRead.edy?newsid=03611286612716160&SCD=JF11&DCD=A00601")
